تاریخ و زمان,نوع سنسور,مقدار,واحد
2026-01-24 19:16:22,تابش خورشیدی,0,W/m2
2026-01-24 19:16:22,سرعت باد,3.8,km/h
2026-01-24 19:16:22,باران,171,mm
2026-01-24 19:08:02,فشار هوا,92.7,kPa
2026-01-24 19:08:02,تابش خورشیدی,0,W/m2
2026-01-24 19:08:02,جهت باد,211.3,degree
2026-01-24 19:08:02,دما,5.8,°C
2026-01-24 19:08:02,رطوبت,49.5,%
2026-01-24 19:08:02,سرعت باد,10.4,km/h
2026-01-24 19:08:02,باران,171,mm
2026-01-24 19:07:15,رطوبت,49.5,%
2026-01-24 19:07:15,سرعت باد,10.4,km/h
2026-01-24 19:07:15,تابش خورشیدی,0,W/m2
2026-01-24 19:07:15,باران,171,mm
2026-01-24 19:07:15,فشار هوا,92.7,kPa
2026-01-24 19:07:15,دما,5.8,°C
2026-01-24 19:07:15,جهت باد,211.3,degree
2026-01-24 18:56:47,تابش خورشیدی,0,W/m2
2026-01-24 18:56:47,فشار هوا,92.6,kPa
2026-01-24 18:56:47,سرعت باد,14.3,km/h
2026-01-24 18:56:47,باران,171,mm
2026-01-24 18:56:47,جهت باد,211.4,degree
2026-01-24 18:56:47,رطوبت,49,%
2026-01-24 18:56:47,دما,6,°C
2026-01-24 18:56:45,باران,171,mm
2026-01-24 18:56:45,رطوبت,49,%
2026-01-24 18:56:45,دما,6,°C
2026-01-24 18:56:45,فشار هوا,92.6,kPa
2026-01-24 18:56:45,جهت باد,211.4,degree
2026-01-24 18:56:45,سرعت باد,14.3,km/h
2026-01-24 18:56:45,تابش خورشیدی,0,W/m2
2026-01-24 18:47:58,دما,6.2,°C
2026-01-24 18:47:58,باران,171,mm
2026-01-24 18:47:58,رطوبت,47.7,%
2026-01-24 18:47:58,تابش خورشیدی,0,W/m2
2026-01-24 18:47:58,سرعت باد,14,km/h
2026-01-24 18:47:58,جهت باد,207.6,degree
2026-01-24 18:47:58,فشار هوا,92.6,kPa
2026-01-24 18:47:15,فشار هوا,92.6,kPa
2026-01-24 18:47:15,تابش خورشیدی,0,W/m2
2026-01-24 18:47:15,سرعت باد,14,km/h
2026-01-24 18:47:15,رطوبت,47.7,%
2026-01-24 18:47:15,دما,6.2,°C
2026-01-24 18:47:15,جهت باد,207.6,degree
2026-01-24 18:47:15,باران,171,mm
2026-01-24 18:36:22,جهت باد,214.3,degree
2026-01-24 18:36:22,تابش خورشیدی,0,W/m2
2026-01-24 18:36:22,باران,171,mm
2026-01-24 18:36:22,فشار هوا,92.5,kPa
2026-01-24 18:36:22,سرعت باد,29.2,km/h
2026-01-24 18:36:22,دما,6.1,°C
2026-01-24 18:36:22,رطوبت,49.3,%
2026-01-24 18:26:36,جهت باد,219.9,degree
2026-01-24 18:26:36,تابش خورشیدی,0,W/m2
2026-01-24 18:26:36,دما,6,°C
2026-01-24 18:26:36,باران,171,mm
2026-01-24 18:26:36,فشار هوا,92.6,kPa
2026-01-24 18:26:36,رطوبت,51.2,%
2026-01-24 18:26:36,سرعت باد,21.1,km/h
2026-01-24 18:18:37,دما,5.8,°C
2026-01-24 18:18:37,رطوبت,52.8,%
2026-01-24 18:18:37,باران,171,mm
2026-01-24 18:18:37,سرعت باد,19.7,km/h
2026-01-24 18:18:37,جهت باد,218.3,degree
2026-01-24 18:18:37,تابش خورشیدی,0,W/m2
2026-01-24 18:18:37,فشار هوا,92.6,kPa
2026-01-24 18:16:59,باران,171,mm
2026-01-24 18:16:59,جهت باد,218.3,degree
2026-01-24 18:16:59,فشار هوا,92.6,kPa
2026-01-24 18:16:59,دما,5.8,°C
2026-01-24 18:16:59,سرعت باد,19.7,km/h
2026-01-24 18:16:59,رطوبت,52.8,%
2026-01-24 18:16:59,تابش خورشیدی,0,W/m2
2026-01-24 18:06:41,رطوبت,53.2,%
2026-01-24 18:06:41,تابش خورشیدی,0,W/m2
2026-01-24 18:06:41,فشار هوا,92.6,kPa
2026-01-24 18:06:41,سرعت باد,15.9,km/h
2026-01-24 18:06:41,باران,171,mm
2026-01-24 18:06:41,جهت باد,216.4,degree
2026-01-24 18:06:41,دما,5.8,°C
2026-01-24 17:56:26,فشار هوا,92.6,kPa
2026-01-24 17:56:26,جهت باد,219.7,degree
2026-01-24 17:56:26,رطوبت,54.6,%
2026-01-24 17:56:26,سرعت باد,16.6,km/h
2026-01-24 17:56:26,تابش خورشیدی,0,W/m2
2026-01-24 17:56:26,دما,5.5,°C
2026-01-24 17:56:26,باران,171,mm
2026-01-24 17:46:17,سرعت باد,12.1,km/h
2026-01-24 17:46:17,باران,171,mm
2026-01-24 17:46:17,رطوبت,51.8,%
2026-01-24 17:46:17,تابش خورشیدی,0,W/m2
2026-01-24 17:46:17,فشار هوا,92.6,kPa
2026-01-24 17:46:17,جهت باد,219.3,degree
2026-01-24 17:46:17,دما,5.8,°C
2026-01-24 17:36:16,دما,6.3,°C
2026-01-24 17:36:16,جهت باد,213.6,degree
2026-01-24 17:36:16,تابش خورشیدی,0,W/m2
2026-01-24 17:36:16,باران,171,mm
2026-01-24 17:36:16,سرعت باد,11.2,km/h
2026-01-24 17:36:16,رطوبت,48,%
2026-01-24 17:36:16,فشار هوا,92.6,kPa
2026-01-24 17:26:12,رطوبت,45.7,%
2026-01-24 17:26:12,تابش خورشیدی,0,W/m2
2026-01-24 17:26:12,باران,171,mm
2026-01-24 17:26:12,فشار هوا,92.6,kPa
2026-01-24 17:26:12,سرعت باد,13.9,km/h
2026-01-24 17:26:12,جهت باد,211.6,degree
2026-01-24 17:26:12,دما,6.5,°C
2026-01-24 17:16:42,باران,171,mm
2026-01-24 17:16:42,دما,6.6,°C
2026-01-24 17:16:42,تابش خورشیدی,0,W/m2
2026-01-24 17:16:42,رطوبت,45.6,%
2026-01-24 17:16:42,جهت باد,208.6,degree
2026-01-24 17:16:42,سرعت باد,15.7,km/h
2026-01-24 17:16:42,فشار هوا,92.6,kPa
2026-01-24 17:16:36,دما,6.6,°C
2026-01-24 17:16:36,تابش خورشیدی,0,W/m2
2026-01-24 17:16:36,جهت باد,208.6,degree
2026-01-24 17:16:36,فشار هوا,92.6,kPa
2026-01-24 17:16:36,سرعت باد,15.7,km/h
2026-01-24 17:16:36,رطوبت,45.6,%
2026-01-24 17:16:36,باران,171,mm
2026-01-24 17:06:09,تابش خورشیدی,0,W/m2
2026-01-24 17:06:09,رطوبت,45.1,%
2026-01-24 17:06:09,فشار هوا,92.6,kPa
2026-01-24 17:06:09,جهت باد,209.3,degree
2026-01-24 17:06:09,باران,171,mm
2026-01-24 17:06:09,سرعت باد,17.2,km/h
2026-01-24 17:06:09,دما,6.7,°C
2026-01-24 16:56:12,دما,7.1,°C
2026-01-24 16:56:12,رطوبت,42.7,%
2026-01-24 16:56:12,جهت باد,208,degree
2026-01-24 16:56:12,سرعت باد,16.9,km/h
2026-01-24 16:56:12,فشار هوا,92.5,kPa
2026-01-24 16:56:12,باران,171,mm
2026-01-24 16:56:12,تابش خورشیدی,1,W/m2
2026-01-24 16:46:08,جهت باد,212.3,degree
2026-01-24 16:46:08,رطوبت,40.8,%
2026-01-24 16:46:08,باران,171,mm
2026-01-24 16:46:08,فشار هوا,92.5,kPa
2026-01-24 16:46:08,تابش خورشیدی,3,W/m2
2026-01-24 16:46:08,سرعت باد,19.1,km/h
2026-01-24 16:46:08,دما,7.3,°C
2026-01-24 16:36:06,جهت باد,202.5,degree
2026-01-24 16:36:06,فشار هوا,92.5,kPa
2026-01-24 16:36:06,باران,171,mm
2026-01-24 16:36:06,رطوبت,39.6,%
2026-01-24 16:36:06,سرعت باد,21.1,km/h
2026-01-24 16:36:06,دما,7.6,°C
2026-01-24 16:36:06,تابش خورشیدی,10,W/m2
2026-01-24 16:26:16,جهت باد,202.7,degree
2026-01-24 16:26:16,تابش خورشیدی,15,W/m2
2026-01-24 16:26:16,رطوبت,38.9,%
2026-01-24 16:26:16,باران,171,mm
2026-01-24 16:26:16,فشار هوا,92.5,kPa
2026-01-24 16:26:16,دما,7.8,°C
2026-01-24 16:26:16,سرعت باد,25.4,km/h
2026-01-24 16:16:04,رطوبت,38.3,%
2026-01-24 16:16:04,دما,8.1,°C
2026-01-24 16:16:04,سرعت باد,19.2,km/h
2026-01-24 16:16:04,تابش خورشیدی,24,W/m2
2026-01-24 16:16:04,فشار هوا,92.5,kPa
2026-01-24 16:16:04,جهت باد,203.5,degree
2026-01-24 16:16:04,باران,171,mm
2026-01-24 16:06:30,جهت باد,215.2,degree
2026-01-24 16:06:30,باران,171,mm
2026-01-24 16:06:30,دما,8,°C
2026-01-24 16:06:30,رطوبت,37.5,%
2026-01-24 16:06:30,سرعت باد,22.5,km/h
2026-01-24 16:06:30,تابش خورشیدی,26,W/m2
2026-01-24 16:06:30,فشار هوا,92.5,kPa
2026-01-24 16:06:27,تابش خورشیدی,26,W/m2
2026-01-24 16:06:27,باران,171,mm
2026-01-24 16:06:27,جهت باد,215.2,degree
2026-01-24 16:06:27,رطوبت,37.5,%
2026-01-24 16:06:27,فشار هوا,92.5,kPa
2026-01-24 16:06:27,سرعت باد,22.5,km/h
2026-01-24 16:06:27,دما,8,°C
2026-01-24 15:56:06,جهت باد,209.3,degree
2026-01-24 15:56:06,باران,171,mm
2026-01-24 15:56:06,دما,8.1,°C
2026-01-24 15:56:06,رطوبت,37,%
2026-01-24 15:56:06,تابش خورشیدی,36,W/m2
